epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7924,1.92159,5.50464,1.32952,0.0013,0.3913,0.00181,0.00096,1.36685,4.81759,1.13915,0.00018,0.00018,0.00018
2,17.5569,1.57809,3.6134,1.07311,0.0029,0.86957,0.00696,0.00376,1.38848,4.17935,1.01248,0.000364952,0.000364952,0.000364952
3,22.1173,1.33289,2.8458,1.03026,0.00333,1,0.00813,0.00444,1.21369,4.17243,0.97295,0.000534064,0.000534064,0.000534064
4,26.8594,1.4032,2.61882,1.12046,0.00232,0.69565,0.00327,0.00184,1.13578,4.06863,0.95306,0.000687336,0.000687336,0.000687336
5,30.9524,1.48736,2.22071,1.14881,0.00232,0.69565,0.01287,0.00729,1.22254,3.9723,1.00301,0.000824768,0.000824768,0.000824768
6,34.8007,1.37082,2.30859,1.05591,0.33223,0.08696,0.0755,0.03462,1.23635,3.69012,1.06114,0.00094636,0.00094636,0.00094636
7,38.5018,1.45115,2.01942,1.10262,0.14591,0.30435,0.12674,0.06733,1.21024,3.56489,1.1004,0.00105211,0.00105211,0.00105211
8,42.258,1.37763,1.83932,1.03878,0.01318,0.04348,0.11924,0.07051,1.26133,4.31791,1.07654,0.00114202,0.00114202,0.00114202
9,45.9152,1.25927,1.88473,1.02442,1,0.47207,0.91923,0.57073,1.23697,2.62748,1.07493,0.0012161,0.0012161,0.0012161
10,49.5223,1.29138,1.84136,1.0717,0.27887,0.73913,0.28217,0.17203,1.20866,2.77518,1.14676,0.00127433,0.00127433,0.00127433
11,53.111,1.20865,1.59376,1.0483,0.84371,0.82609,0.92532,0.61381,1.25009,2.06888,1.1645,0.001208,0.001208,0.001208
12,56.6461,1.2095,1.57114,1.02011,1,0.73635,0.91509,0.58467,1.31892,2.18775,1.15393,0.0011288,0.0011288,0.0011288
13,60.2225,1.14037,1.52656,0.98382,0.92848,0.78261,0.92797,0.58771,1.37111,2.08959,1.18678,0.0010496,0.0010496,0.0010496
14,64.4427,1.2715,1.57485,1.01438,0.95532,0.82609,0.94589,0.5852,1.38078,1.88417,1.19905,0.0009704,0.0009704,0.0009704
15,69.3903,1.12231,1.54929,1.03961,0.90494,0.82785,0.93925,0.58546,1.37213,1.98555,1.19206,0.0008912,0.0008912,0.0008912
16,87.32,1.01218,1.77265,1.03824,0.86891,0.86475,0.92653,0.58392,1.32442,1.78405,1.14928,0.000812,0.000812,0.000812
17,91.8995,1.02362,1.6681,0.99719,0.90424,0.86957,0.95727,0.59284,1.33314,1.54762,1.2185,0.0007328,0.0007328,0.0007328
18,96.099,1.00061,1.60707,1.06252,1,0.94618,0.98907,0.61506,1.27239,1.45653,1.13309,0.0006536,0.0006536,0.0006536
19,99.7525,1.11492,1.79324,1.05296,0.94183,0.91304,0.9684,0.57959,1.28659,1.47983,1.11678,0.0005744,0.0005744,0.0005744
20,103.566,1.06023,1.67114,1.04046,0.94903,0.91304,0.97724,0.59548,1.23744,1.41991,1.07511,0.0004952,0.0004952,0.0004952
21,107.541,0.96765,1.52853,1.01461,0.94045,0.95652,0.98441,0.62362,1.22197,1.32697,1.0704,0.000416,0.000416,0.000416
22,111.334,0.99714,1.47559,1.01134,0.9497,1,0.9825,0.61237,1.22526,1.35817,1.06288,0.0003368,0.0003368,0.0003368
23,115.663,0.98394,1.45395,1.00595,0.9501,1,0.9825,0.61895,1.20259,1.33043,1.04799,0.0002576,0.0002576,0.0002576
24,120.209,0.97001,1.44719,1.05435,0.95028,1,0.9825,0.61772,1.18045,1.31512,1.03232,0.0001784,0.0001784,0.0001784
25,124.243,0.92463,1.48836,1.00685,0.95034,1,0.9825,0.61857,1.17469,1.29487,1.02527,9.92e-05,9.92e-05,9.92e-05
